figure_id,row_key,column_key,distinct_settlement_records,evidence_ids
F_S22_3_B,military,coercive_or_transfer_actor,8,CR-1972 / BARG-1972-01; CR-1972 / BARG-1973-01; CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-07; CR-2025 / BARG-2025-01; CR-2025-26 / BARG-2025-02
F_S22_3_B,military,recipient_or_transfer_actor,4,CR-1972 / BARG-1972-01; CR-1972 / BARG-1973-01; CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02
F_S22_3_B,military,mediator_or_guarantor,1,CR-2009-10 / BARG-2009-07
F_S22_3_B,military,mediator_observer_or_norm_enforcer,5,CR-1975 / BARG-1975-02; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-07; CR-2025 / BARG-2025-01; CR-2025-26 / BARG-2025-02
F_S22_3_B,military,constitutional_court_or_formalizer,3,CR-2009 / BARG-2009-01; CR-2025 / BARG-2025-01; CR-2025-26 / BARG-2025-02
F_S22_3_B,military,transition_authority,1,CR-2009 / BARG-2009-01
F_S22_3_B,military,foreign_state_counterparty,1,CR-1972 / BARG-1973-01
F_S22_3_B,military,mediator_or_observer,1,CR-2009-10 / BARG-2009-07
F_S22_3_B,military,consulted_actor_categories,1,CR-2025-26 / BARG-2025-02
F_S22_3_B,military,transition_head_or_recipient,1,CR-2025 / BARG-2025-01
F_S22_3_B,military,incumbent_or_counterparty,1,CR-1972 / BARG-1972-01
F_S22_3_B,military,military_directorate_head,1,CR-1975 / BARG-1975-02
F_S22_3_B,military,military_directorate,1,CR-1975 / BARG-1975-02
F_S22_3_B,military_elite,claimant_or_signatory,2,CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02
F_S22_3_B,military_elite,coercive_or_transfer_actor,5,CR-1972 / BARG-1972-01; CR-1972 / BARG-1973-01; CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02; CR-2025 / BARG-2025-01
F_S22_3_B,military_elite,recipient_or_transfer_actor,5,CR-1972 / BARG-1972-01; CR-1972 / BARG-1972-02; CR-1972 / BARG-1973-01; CR-1975 / BARG-1975-01; CR-1975 / BARG-1975-02
F_S22_3_B,military_elite,mediator_or_guarantor,1,CR-2025-26 / BARG-2026-01
F_S22_3_B,military_elite,mediator_observer_or_norm_enforcer,2,CR-1975 / BARG-1975-02; CR-2025 / BARG-2025-01
F_S22_3_B,military_elite,constitutional_court_or_formalizer,1,CR-2025 / BARG-2025-01
F_S22_3_B,military_elite,foreign_state_counterparty,1,CR-1972 / BARG-1973-01
F_S22_3_B,military_elite,consulted_actor_categories,1,CR-2025-26 / BARG-2026-01
F_S22_3_B,military_elite,transition_head_or_recipient,2,CR-2025 / BARG-2025-01; CR-2025-26 / BARG-2026-01
F_S22_3_B,military_elite,incumbent_or_counterparty,1,CR-1972 / BARG-1972-01
F_S22_3_B,military_elite,military_directorate_head,1,CR-1975 / BARG-1975-02
F_S22_3_B,military_elite,military_directorate,1,CR-1975 / BARG-1975-02
F_S22_3_B,regional_organization,claimant_or_signatory,8,CR-1975 / BARG-1975-02; CR-1991 / BARG-1991-01; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09
F_S22_3_B,regional_organization,claimant_or_transition_actor,6,CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09
F_S22_3_B,regional_organization,coercive_or_transfer_actor,5,CR-1975 / BARG-1975-02; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-07; CR-2025 / BARG-2025-01; CR-2025-26 / BARG-2025-02
F_S22_3_B,regional_organization,recipient_or_transfer_actor,1,CR-1975 / BARG-1975-02
F_S22_3_B,regional_organization,mediator_or_guarantor,10,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09; CR-2011 / BARG-2011-01; CR-2011 / BARG-2011-02; CR-2018 / BARG-2018-01; CR-2025-26 / BARG-2025-04; CR-2025-26 / BARG-2026-01
F_S22_3_B,regional_organization,mediator_observer_or_norm_enforcer,15,CR-1975 / BARG-1975-02; CR-1991 / BARG-1991-01; CR-1991 / BARG-1991-02; CR-2009 / BARG-2009-01; CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09; CR-2011 / BARG-2011-01; CR-2018 / BARG-2018-01; CR-2025 / BARG-2025-01; CR-2025-26 / BARG-2025-02; CR-2025-26 / BARG-2025-04
F_S22_3_B,regional_organization,constitutional_court_or_formalizer,4,CR-2009 / BARG-2009-01; CR-2018 / BARG-2018-01; CR-2025 / BARG-2025-01; CR-2025-26 / BARG-2025-02
F_S22_3_B,regional_organization,transition_authority,2,CR-2009 / BARG-2009-01; CR-2018 / BARG-2018-01
F_S22_3_B,regional_organization,opposition_actor,2,CR-1991 / BARG-1991-01; CR-2018 / BARG-2018-01
F_S22_3_B,regional_organization,participant_or_code_subject,3,CR-1991 / BARG-1991-01; CR-2009-10 / BARG-2009-05; CR-2018 / BARG-2018-01
F_S22_3_B,regional_organization,mediator_or_observer,5,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-09
